Rank	Freq	Keyness	Keyword
848	7	18.927	троих
849	7	18.927	троллейбус
850	7	8.507	улица
851	7	18.927	умер
852	7	18.927	учился
853	7	18.927	Франции
854	7	18.927	Ха
855	7	18.927	Хотя
856	7	13.498	человечек
857	7	4.575	чему
858	7	8.507	чисто
859	7	18.927	читаю
860	7	2.99	ясно
861	6	16.224	distinct
862	6	11.081	m
863	6	16.224	onion
864	6	16.224	PART
865	6	16.224	S
866	6	16.224	автобусе
867	6	16.224	бабушки
868	6	2.47	безусловно
869	6	16.224	бешбармак
870	6	16.224	боже
871	6	0.494	большие
872	6	0.078	большую
873	6	3.181	буквально
874	6	16.224	бутово
875	6	16.224	верно
876	6	6.563	видел
877	6	0.736	виду
878	6	16.224	волосы
879	6	16.224	Вроде
880	6	11.081	всяких
881	6	16.224	выпускной
882	6	16.224	вышла
883	6	1.041	главного
884	6	16.224	готовился
885	6	16.224	грустно
886	6	16.224	детство
887	6	1.892	доме
888	6	11.081	думали
889	6	8.424	ездил
890	6	11.081	женщины
891	6	16.224	Жигули
892	6	16.224	загрузили
893	6	11.081	закончила
894	6	16.224	запомнила
895	6	16.224	Здесь
896	6	6.563	знаем
897	6	16.224	Знаешь
898	6	5.158	знак
899	6	6.563	играет
900	6	16.224	играли
901	6	16.224	иду
902	6	16.224	идёт
903	6	0.494	институт
904	6	16.224	Иран
905	6	16.224	Ирана
906	6	4.059	каждого
907	6	16.224	Казахстана
908	6	3.181	класса
909	6	16.224	коллектив
910	6	16.224	кормила
911	6	8.424	короткий
912	6	16.224	Крым
913	6	16.224	Куда
914	6	3.181	культура
915	6	16.224	лагере
916	6	11.081	лагерь
917	6	1.422	легко
918	6	16.224	лингвистике
919	6	16.224	литературу
920	6	0.736	лично
921	6	16.224	лук
922	6	16.224	любил
923	6	16.224	любимый
924	6	16.224	математике
925	6	16.224	мем
926	6	16.224	Меня
927	6	3.181	миллионов
928	6	5.158	мясо
929	6	16.224	Над
930	6	16.224	Нам
931	6	2.47	намного
932	6	11.081	написала
933	6	6.563	началась
934	6	2.47	начинает
935	6	1.422	наше
936	6	3.181	нашего
937	6	16.224	немец
938	6	6.563	неплохо
939	6	5.158	никуда
940	6	16.224	ногой
941	6	16.224	ноль
942	6	11.081	носили
943	6	16.224	обед
944	6	16.224	Обычно
945	6	16.224	одиннадцать
946	6	16.224	одни
947	6	16.224	орешки
948	6	11.081	поговорим
949	6	16.224	подумала
950	6	16.224	покупайте
951	6	16.224	Пол
952	6	16.224	полу
953	6	16.224	польский
954	6	16.224	Помню
955	6	16.224	понравился
956	6	16.224	поступил
957	6	16.224	пошёл
958	6	0.078	появились
959	6	16.224	преподаватели
960	6	16.224	привет
961	6	16.224	прихожу
962	6	16.224	причём
963	6	1.422	пришел
964	6	0.494	пришли
965	6	1.892	прошло
966	6	1.892	пусть
967	6	16.224	Пять
968	6	16.224	пятёрка
969	6	6.563	район
970	6	6.563	рассказывать
971	6	8.424	рождения
972	6	2.47	роман
973	6	11.081	русские
974	6	1.041	самые
975	6	16.224	Саш
976	6	16.224	семьдесят
977	6	8.424	семью
978	6	16.224	Сколько
979	6	16.224	Слушай
980	6	11.081	слышно
981	6	16.224	снимали
982	6	16.224	снимать
983	6	1.422	снова
984	6	4.059	сообщение
985	6	16.224	спал
986	6	11.081	спрашивают
987	6	11.081	спросить
988	6	6.563	сто
989	6	8.424	страшно
990	6	16.224	студенты
991	6	11.081	судить
992	6	0.172	сути
993	6	0.172	таком
994	6	16.224	Типа
995	6	16.224	Тогда
996	6	5.158	точнее
997	6	0.172	ту
998	6	1.422	тысяч
999	6	8.424	увидел
1000	6	11.081	учителей
1001	6	16.224	учителем
1002	6	11.081	ушел
1003	6	11.081	ходил
1004	6	3.181	хотим
1005	6	16.224	худи
1006	6	3.181	целый
1007	6	16.224	Чего
1008	6	16.224	чё
1009	6	1.892	школ
1010	6	2.47	шли
1011	6	8.424	штук
1012	6	16.224	шёл
1013	6	16.224	Эм
1014	6	16.224	Эмм
1015	6	16.224	этаж
1016	5	13.52	NUM
1017	5	13.52	автобус
1018	5	13.52	антифриз
1019	5	13.52	арахис
1020	5	13.52	бабушку
1021	5	13.52	баллов
1022	5	6.341	берет
1023	5	6.341	билет
1024	5	1.954	ближе
1025	5	13.52	Вау
1026	5	13.52	Венера
1027	5	13.52	вернее
1028	5	13.52	вертолет
1029	5	1.954	вещь
1030	5	0.034	взгляд
1031	5	3.549	вид
1032	5	13.52	видела
1033	5	8.712	видеть
1034	5	13.52	вкусный
1035	5	13.52	Владимир
1036	5	13.52	вложил
1037	5	8.712	вниз
1038	5	13.52	Во
1039	5	13.52	восемнадцать
1040	5	0.987	восьми
1041	5	1.41	второе
1042	5	0.002	выбор
1043	5	13.52	выставках
